案例,难度,结果目录,结果状态,基元数,体素IoU(48³),包围盒基线IoU(48³),平均对称表面距离,总耗时(秒)
110956_df981ed9_0,简单,results/easy_110956_df981ed9_0,已完成,2,1.0,0.9571428571428572,0.00033678215978914864,38.28155393991619
129012_576921da_0,简单,results/easy_129012,已完成,3,0.9664179104477612,0.7505668934240363,0.009384548720185642,63.30031224153936
23853_4f653200_4,简单,results/easy_23853_4f653200_4,已完成,3,0.8212114179624043,0.2862202380952381,0.02342312631939607,44.4214469846338
132948_7b65c184_2,中等,results/medium_132948_7b65c184_2,已完成,3,0.9818544299520173,0.918609022556391,0.004438025164275165,29.814879985526204
140224_6952f93f_3,中等,results/medium_140224_6952f93f_3,已完成,1,0.9583887264025525,0.11729323308270677,0.0017754282287680803,33.55287867411971
62111_9ba5436e_2,中等,results/medium_62111,已完成,3,0.9512762791407532,0.4002267573696145,0.007898360583346288,25.04795584641397
109857_1d24326e_6,困难,results/hard_109857_1d24326e_6,已完成,3,0.6141912512716174,0.6978458049886621,0.010879798995127468,16.10344691388309
138244_f79136e9_0,困难,results/hard_138244_f79136e9_0,已完成,3,0.811629137515433,0.22538489079842464,0.008858392772072069,92.69095587078482
96174_fea894a7_0,困难,results/hard_96174_fea894a7_0,已完成,3,0.9791216702663786,0.6108333333333333,0.005312911698078362,78.28730696346611
